lambda,basic1,basic2,acidic
#Wavelength (nm),Absorbance,Absorbance,Absorbance
426.00,0.245462,0.245435,0.048534
425.00,0.245329,0.245299,0.046919
424.00,0.245010,0.245060,0.045236
423.00,0.244710,0.244761,0.043759
422.00,0.244516,0.244420,0.042514
421.00,0.244129,0.243996,0.041109
420.00,0.243553,0.243560,0.039579
419.00,0.243143,0.243032,0.038497
418.00,0.242669,0.242577,0.037224
417.00,0.241780,0.241989,0.036079
416.00,0.241178,0.241289,0.034951
415.00,0.240578,0.240434,0.033796
414.00,0.239508,0.239641,0.032832
413.00,0.238625,0.238691,0.031882
412.00,0.237781,0.238086,0.031060
411.00,0.236765,0.237213,0.030103
410.00,0.235807,0.235988,0.029346
409.00,0.234577,0.234861,0.028515
408.00,0.233201,0.233500,0.027576
407.00,0.231927,0.232129,0.027058
406.00,0.230646,0.230754,0.026463
405.00,0.229280,0.229470,0.025613
404.00,0.227575,0.227851,0.024939
403.00,0.225675,0.225965,0.024315
402.00,0.224099,0.224348,0.023917
401.00,0.222421,0.222656,0.023172
400.00,0.220722,0.220951,0.022680
399.00,0.218712,0.218943,0.022355
398.00,0.216492,0.216879,0.021885
397.00,0.214334,0.214506,0.021544
396.00,0.211900,0.211991,0.021044
395.00,0.209581,0.209644,0.020810
394.00,0.207337,0.207563,0.020655
393.00,0.204830,0.205013,0.020324
392.00,0.202234,0.202356,0.020039
391.00,0.199418,0.199650,0.019830
390.00,0.196304,0.196609,0.019495
389.00,0.193773,0.194095,0.019423
388.00,0.190816,0.191047,0.019095
387.00,0.187957,0.188162,0.019022
386.00,0.184501,0.184932,0.019014
385.00,0.181349,0.181715,0.019078
384.00,0.178415,0.178475,0.018972
383.00,0.175414,0.175483,0.019102
382.00,0.172473,0.172217,0.019055
381.00,0.169004,0.168977,0.019118
380.00,0.165355,0.165604,0.019023
379.00,0.161789,0.162187,0.019403
378.00,0.158569,0.158784,0.019351
377.00,0.155250,0.155702,0.019322
376.00,0.151852,0.152475,0.019609
375.00,0.148550,0.149023,0.019917
374.00,0.145151,0.145106,0.020258
373.00,0.141600,0.141928,0.020057
372.00,0.138129,0.138493,0.020637
371.00,0.134840,0.135069,0.020854
370.00,0.131328,0.131683,0.021068
369.00,0.127902,0.128253,0.021679
368.00,0.124337,0.124397,0.022091
367.00,0.121275,0.121707,0.022715
366.00,0.118048,0.118183,0.023178
365.00,0.114515,0.114914,0.023653
364.00,0.111805,0.111994,0.024166
363.00,0.108227,0.108650,0.025005
362.00,0.105166,0.105506,0.025545
361.00,0.101852,0.102073,0.026394
360.00,0.099066,0.099292,0.026964
359.00,0.095957,0.096010,0.027745
358.00,0.093036,0.093113,0.028493
357.00,0.090137,0.090213,0.029087
356.00,0.087016,0.087239,0.029843
355.00,0.084277,0.084426,0.030505
354.00,0.081675,0.081852,0.031079
353.00,0.079272,0.079177,0.031796
352.00,0.076699,0.076663,0.032334
351.00,0.073802,0.073766,0.032901
350.00,0.071516,0.071570,0.033466
