basic methyl red
1/1/2006 12:59:45 PM
Wavelength (nm),Absorbance
576.00,0.007406
575.00,0.007856
574.00,0.008200
573.00,0.008750
572.00,0.009279
571.00,0.009669
570.00,0.010117
569.00,0.010625
568.00,0.010783
567.00,0.011519
566.00,0.011957
565.00,0.012421
564.00,0.013177
563.00,0.013379
562.00,0.013838
561.00,0.013969
560.00,0.014308
559.00,0.014766
558.00,0.014994
557.00,0.015245
556.00,0.015807
555.00,0.015865
554.00,0.015928
553.00,0.016258
552.00,0.016423
551.00,0.016676
550.00,0.016944
549.00,0.017161
548.00,0.017231
547.00,0.017217
546.00,0.017679
545.00,0.017857
544.00,0.018124
543.00,0.018241
542.00,0.018649
541.00,0.018804
540.00,0.019183
539.00,0.019505
538.00,0.019805
537.00,0.020393
536.00,0.020830
535.00,0.021501
534.00,0.021682
533.00,0.022372
532.00,0.022865
531.00,0.023654
530.00,0.024350
529.00,0.024964
528.00,0.025727
527.00,0.026478
526.00,0.027477
525.00,0.028169
524.00,0.029194
523.00,0.030297
522.00,0.031289
521.00,0.032480
520.00,0.033785
519.00,0.035154
518.00,0.036292
517.00,0.037831
516.00,0.039243
515.00,0.040976
514.00,0.042546
513.00,0.043851
512.00,0.045742
511.00,0.047803
510.00,0.049730
509.00,0.051899
508.00,0.054054
507.00,0.056443
506.00,0.058871
505.00,0.061184
504.00,0.063578
503.00,0.066512
502.00,0.069324
501.00,0.072059
500.00,0.075176
499.00,0.078362
498.00,0.081508
497.00,0.084621
496.00,0.087978
495.00,0.091545
494.00,0.095473
493.00,0.098980
492.00,0.102459
491.00,0.105906
490.00,0.109954
489.00,0.113946
488.00,0.117893
487.00,0.121611
486.00,0.125661
485.00,0.129700
484.00,0.133637
483.00,0.137835
482.00,0.141779
481.00,0.145998
480.00,0.149618
479.00,0.153619
478.00,0.157723
477.00,0.161857
476.00,0.165695
475.00,0.169448
474.00,0.173200
473.00,0.176913
472.00,0.180980
471.00,0.184350
470.00,0.187789
469.00,0.191136
468.00,0.194217
467.00,0.197648
466.00,0.200950
465.00,0.204061
464.00,0.206856
463.00,0.209601
462.00,0.212395
461.00,0.215120
460.00,0.217646
459.00,0.219956
458.00,0.222019
457.00,0.224195
456.00,0.226156
455.00,0.228247
454.00,0.229971
453.00,0.231546
452.00,0.233251
451.00,0.234663
450.00,0.235810
449.00,0.237215
448.00,0.238318
447.00,0.239457
446.00,0.240263
445.00,0.241023
444.00,0.241869
443.00,0.242692
442.00,0.243197
441.00,0.243726
440.00,0.244219
439.00,0.244644
438.00,0.244983
437.00,0.245233
436.00,0.245568
435.00,0.245814
434.00,0.245826
433.00,0.245945
432.00,0.246013
431.00,0.246125
430.00,0.245931
429.00,0.245938
428.00,0.245702
427.00,0.245684
426.00,0.245435
425.00,0.245299
424.00,0.245060
423.00,0.244761
422.00,0.244420
421.00,0.243996
420.00,0.243560
419.00,0.243032
418.00,0.242577
417.00,0.241989
416.00,0.241289
415.00,0.240434
414.00,0.239641
413.00,0.238691
412.00,0.238086
411.00,0.237213
410.00,0.235988
409.00,0.234861
408.00,0.233500
407.00,0.232129
406.00,0.230754
405.00,0.229470
404.00,0.227851
403.00,0.225965
402.00,0.224348
401.00,0.222656
400.00,0.220951
399.00,0.218943
398.00,0.216879
397.00,0.214506
396.00,0.211991
395.00,0.209644
394.00,0.207563
393.00,0.205013
392.00,0.202356
391.00,0.199650
390.00,0.196609
389.00,0.194095
388.00,0.191047
387.00,0.188162
386.00,0.184932
385.00,0.181715
384.00,0.178475
383.00,0.175483
382.00,0.172217
381.00,0.168977
380.00,0.165604
379.00,0.162187
378.00,0.158784
377.00,0.155702
376.00,0.152475
375.00,0.149023
374.00,0.145106
373.00,0.141928
372.00,0.138493
371.00,0.135069
370.00,0.131683
369.00,0.128253
368.00,0.124397
367.00,0.121707
366.00,0.118183
365.00,0.114914
364.00,0.111994
363.00,0.108650
362.00,0.105506
361.00,0.102073
360.00,0.099292
359.00,0.096010
358.00,0.093113
357.00,0.090213
356.00,0.087239
355.00,0.084426
354.00,0.081852
353.00,0.079177
352.00,0.076663
351.00,0.073766
350.00,0.071570


acidic methyl red
1/1/2006 1:05:37 PM
Wavelength (nm),Absorbance
850.00,-0.000426
849.00,-0.000242
848.00,-0.000405
847.00,-0.000239
846.00,0.000157
845.00,-0.000843
844.00,-0.000339
843.00,-0.001203
842.00,-0.001022
841.00,-0.000604
840.00,-0.000623
839.00,-0.000643
838.00,-0.000726
837.00,-0.001141
836.00,0.000095
835.00,-0.000279
834.00,-0.000323
833.00,-0.000502
832.00,-0.000408
831.00,0.000034
830.00,-0.000149
829.00,-0.000507
828.00,-0.000333
827.00,-0.000126
826.00,-0.000585
825.00,-0.000722
824.00,-0.000176
823.00,-0.000534
822.00,-0.000390
821.00,-0.000323
820.00,0.000055
819.00,0.000268
818.00,0.000094
817.00,-0.000555
816.00,-0.000023
815.00,-0.001174
814.00,-0.000153
813.00,0.000806
812.00,0.000504
811.00,-0.001294
810.00,-0.000211
809.00,-0.002292
808.00,0.000316
807.00,-0.000234
806.00,-0.000675
805.00,-0.000588
804.00,0.000818
803.00,0.000188
802.00,-0.000241
801.00,-0.000072
800.00,0.000639
799.00,-0.000612
798.00,-0.000107
797.00,0.000047
796.00,0.000382
795.00,-0.000478
794.00,0.001290
793.00,0.000169
792.00,0.000459
791.00,0.000338
790.00,0.001186
789.00,0.000218
788.00,0.001921
787.00,0.000035
786.00,-0.000715
785.00,0.000421
784.00,-0.001173
783.00,-0.000272
782.00,-0.000504
781.00,-0.000183
780.00,0.000231
779.00,-0.000793
778.00,-0.000121
777.00,0.000211
776.00,-0.000253
775.00,-0.000330
774.00,0.000147
773.00,-0.000471
772.00,-0.001187
771.00,-0.000886
770.00,-0.000232
769.00,0.000641
768.00,-0.000938
767.00,0.000040
766.00,-0.000712
765.00,-0.000996
764.00,0.000087
763.00,-0.000671
762.00,-0.000364
761.00,-0.000569
760.00,-0.000563
759.00,-0.000748
758.00,0.000312
757.00,0.000337
756.00,-0.000587
755.00,-0.000247
754.00,-0.001224
753.00,-0.000501
752.00,-0.000555
751.00,-0.000144
750.00,-0.000727
749.00,-0.000324
748.00,-0.000163
747.00,-0.000781
746.00,-0.000464
745.00,0.000040
744.00,-0.000264
743.00,0.000435
742.00,-0.001053
741.00,-0.000712
740.00,0.000010
739.00,-0.000561
738.00,-0.001240
737.00,-0.000319
736.00,-0.000485
735.00,-0.000058
734.00,-0.000568
733.00,-0.000225
732.00,-0.000309
731.00,-0.000076
730.00,-0.000479
729.00,-0.000671
728.00,0.000707
727.00,-0.000046
726.00,-0.000362
725.00,-0.000227
724.00,-0.000793
723.00,-0.000230
722.00,-0.000027
721.00,0.000582
720.00,-0.000110
719.00,-0.000060
718.00,-0.000099
717.00,-0.000285
716.00,-0.000306
715.00,-0.000266
714.00,-0.000064
713.00,-0.000295
712.00,0.000099
711.00,0.000284
710.00,0.000390
709.00,-0.000451
708.00,0.000288
707.00,0.000211
706.00,-0.000294
705.00,-0.000541
704.00,-0.000510
703.00,-0.000462
702.00,-0.000516
701.00,-0.000075
700.00,-0.000194
699.00,0.000026
698.00,-0.000068
697.00,-0.000112
696.00,-0.000097
695.00,0.000099
694.00,0.000215
693.00,-0.000331
692.00,-0.000068
691.00,0.000187
690.00,0.000217
689.00,0.000298
688.00,0.000230
687.00,0.000011
686.00,0.000036
685.00,-0.000007
684.00,0.000105
683.00,0.000004
682.00,0.000070
681.00,0.000080
680.00,0.000031
679.00,-0.000202
678.00,-0.000143
677.00,-0.000019
676.00,0.000073
675.00,-0.000006
674.00,0.000307
673.00,0.000131
672.00,-0.000057
671.00,0.000371
670.00,0.000351
669.00,0.000449
668.00,0.000207
667.00,0.000307
666.00,0.000127
665.00,0.000128
664.00,0.000262
663.00,0.000539
662.00,0.000118
661.00,0.000412
660.00,0.000015
659.00,-0.000035
658.00,0.000323
657.00,0.000633
656.00,0.000665
655.00,0.000047
654.00,0.000114
653.00,0.000294
652.00,0.000339
651.00,0.000076
650.00,0.000705
649.00,0.000415
648.00,0.000824
647.00,0.000615
646.00,0.000867
645.00,0.000689
644.00,0.000642
643.00,0.000503
642.00,0.000779
641.00,0.000727
640.00,0.000878
639.00,0.001189
638.00,0.001281
637.00,0.000839
636.00,0.000504
635.00,0.000954
634.00,0.001216
633.00,0.001139
632.00,0.001212
631.00,0.001059
630.00,0.001742
629.00,0.001687
628.00,0.001683
627.00,0.001606
626.00,0.002161
625.00,0.002386
624.00,0.002449
623.00,0.002650
622.00,0.002593
621.00,0.002765
620.00,0.003274
619.00,0.003663
618.00,0.003594
617.00,0.004329
616.00,0.004534
615.00,0.005111
614.00,0.005073
613.00,0.005883
612.00,0.006621
611.00,0.007107
610.00,0.007968
609.00,0.008596
608.00,0.009392
607.00,0.010496
606.00,0.011798
605.00,0.012953
604.00,0.014096
603.00,0.015725
602.00,0.017187
601.00,0.019596
600.00,0.022084
599.00,0.024139
598.00,0.027025
597.00,0.029825
596.00,0.033378
595.00,0.037377
594.00,0.041591
593.00,0.045899
592.00,0.051035
591.00,0.056358
590.00,0.063239
589.00,0.069867
588.00,0.077808
587.00,0.086095
586.00,0.094953
585.00,0.105136
584.00,0.116135
583.00,0.126578
582.00,0.138046
581.00,0.150699
580.00,0.163666
579.00,0.178900
578.00,0.194780
577.00,0.210705
576.00,0.226429
575.00,0.242778
574.00,0.260259
573.00,0.279236
572.00,0.296467
571.00,0.314623
570.00,0.332122
569.00,0.349705
568.00,0.367999
567.00,0.387253
566.00,0.404082
565.00,0.420666
564.00,0.436477
563.00,0.451774
562.00,0.467301
561.00,0.480698
560.00,0.493061
559.00,0.504811
558.00,0.515016
557.00,0.525028
556.00,0.533828
555.00,0.541108
554.00,0.548227
