Wavelength (nm),basic,Acid,10-10,12-8,14-6,16-4,18-2
789.00,-0.005264,-0.011182,-0.001189,-0.008488,0.001002,-0.009392,-0.000391
788.50,-0.007276,-0.006484,-0.001493,-0.008978,0.000174,-0.006912,-0.002007
788.00,-0.008511,-0.007377,-0.001233,-0.008811,0.003115,-0.006447,-0.000756
787.50,-0.006041,-0.008161,0.001864,-0.005601,0.001878,-0.005245,0.002563
787.00,-0.006932,-0.009650,0.000420,-0.008580,0.002141,-0.007019,-0.001408
786.50,-0.010203,-0.009571,-0.002270,-0.011809,-0.001775,-0.009513,-0.004865
786.00,-0.003449,-0.006299,0.000966,-0.005851,0.003826,-0.004458,0.005144
785.50,-0.009375,-0.012129,-0.000162,-0.010511,-0.002335,-0.010145,-0.002348
785.00,-0.010866,-0.011333,-0.004829,-0.009921,-0.000589,-0.008157,-0.001079
784.50,-0.002225,-0.005485,0.002851,-0.004469,0.004939,-0.005831,0.003607
784.00,-0.005542,-0.007070,0.000489,-0.006353,0.002221,-0.006266,-0.000738
783.50,-0.003766,-0.003863,0.001652,-0.007937,0.003089,-0.004514,0.001900
783.00,-0.006627,-0.008569,0.001318,-0.008230,-0.001925,-0.008130,0.000587
782.50,-0.004320,-0.008918,0.000576,-0.007271,-0.000154,-0.008946,0.001492
782.00,-0.005105,-0.008501,0.000411,-0.006998,-0.000032,-0.008911,0.001457
781.50,-0.005283,-0.007062,-0.000072,-0.006193,0.000747,-0.008008,0.000596
781.00,-0.006755,-0.006362,-0.001624,-0.007518,0.000323,-0.007094,-0.002836
780.50,-0.003575,-0.004829,0.003498,-0.003790,0.001740,-0.007397,0.003062
780.00,-0.003306,-0.007109,0.000268,-0.005707,-0.000235,-0.005274,0.003169
779.50,-0.004385,-0.007539,0.001534,-0.004984,0.002308,-0.005707,-0.000781
779.00,-0.007391,-0.008074,0.001444,-0.007393,-0.001635,-0.008940,-0.001026
778.50,-0.006990,-0.007543,-0.002994,-0.010251,-0.001281,-0.007749,-0.002384
778.00,-0.006134,-0.007195,-0.000903,-0.008554,-0.002514,-0.010009,-0.001195
777.50,-0.005734,-0.006360,0.001578,-0.006819,0.000973,-0.009760,0.001209
777.00,-0.007380,-0.006902,-0.001221,-0.010091,0.001039,-0.007571,-0.000462
776.50,-0.006856,-0.007569,-0.000496,-0.009219,0.001169,-0.007757,0.001260
776.00,-0.008688,-0.009697,-0.002310,-0.006989,0.001800,-0.008853,0.000696
775.50,-0.006237,-0.007351,-0.000842,-0.009543,0.001149,-0.007947,0.001592
775.00,-0.008430,-0.006182,0.000839,-0.007928,-0.000159,-0.008470,-0.001141
774.50,-0.003018,-0.006471,0.003750,-0.006626,0.000693,-0.006768,0.001881
774.00,-0.004758,-0.005908,0.001250,-0.004150,-0.001783,-0.005359,-0.001671
773.50,-0.008802,-0.007437,-0.001198,-0.007065,-0.001386,-0.008686,0.000051
773.00,-0.008031,-0.008611,-0.000162,-0.008911,-0.000359,-0.006879,-0.000656
772.50,-0.008323,-0.009138,0.000810,-0.010068,-0.003679,-0.007620,-0.001659
772.00,-0.011902,-0.011804,-0.003574,-0.011497,-0.002528,-0.010898,-0.004690
771.50,-0.006326,-0.005382,-0.002072,-0.006463,0.003670,-0.005643,-0.000032
771.00,-0.007264,-0.007227,-0.000275,-0.009725,0.002869,-0.009431,0.000097
770.50,-0.009868,-0.013631,-0.003460,-0.013585,-0.003114,-0.012987,-0.003981
770.00,-0.006025,-0.008168,-0.002293,-0.008195,0.000031,-0.007749,0.002034
769.50,-0.006392,-0.007660,0.001441,-0.004454,-0.000797,-0.007574,0.001137
769.00,-0.005336,-0.004569,0.001293,-0.005997,-0.000253,-0.005737,0.001314
768.50,-0.005778,-0.007833,0.000236,-0.007505,-0.000435,-0.007954,0.001036
768.00,-0.005309,-0.006071,0.000947,-0.005441,0.001779,-0.006757,0.002094
767.50,-0.006725,-0.008920,-0.000138,-0.007372,0.000720,-0.006356,0.001173
767.00,-0.006747,-0.007413,-0.000722,-0.005668,-0.002329,-0.006461,-0.000351
766.50,-0.007153,-0.005597,-0.002364,-0.007710,0.000563,-0.007716,-0.002039
766.00,-0.007409,-0.008831,-0.001124,-0.009336,0.000015,-0.011009,0.000669
